Time_ms,Temp_C,Setpoint_C,Heater_Duty,Motor_Hz,Error_C
635623,63.47,150.00,100,690,86.53
636273,63.47,150.00,100,690,86.53
636923,63.47,150.00,100,690,86.53
637573,63.57,150.00,100,690,86.43
638223,63.38,150.00,100,690,86.62
638873,63.46,150.00,100,690,86.54
639523,63.46,150.00,100,690,86.54
640173,63.29,150.00,100,690,86.71
640823,63.29,150.00,100,690,86.71
641473,63.09,150.00,100,690,86.91
642123,63.13,150.00,100,690,86.87
642773,63.06,150.00,100,690,86.94
643423,63.11,150.00,100,690,86.89
644073,63.08,150.00,100,690,86.92
644723,63.15,150.00,100,690,86.85
645373,63.18,150.00,100,690,86.82
646023,63.03,150.00,100,690,86.97
646673,63.05,150.00,100,690,86.95
647323,63.24,150.00,100,690,86.76
647973,63.21,150.00,100,690,86.79
648623,63.16,150.00,100,690,86.84
649273,63.09,150.00,100,690,86.91
649923,63.13,150.00,100,690,86.87
650573,63.16,150.00,100,690,86.84
651223,63.09,150.00,100,690,86.91
651873,63.09,150.00,100,690,86.91
652523,63.07,150.00,100,690,86.93
653173,63.08,150.00,100,690,86.92
653823,63.12,150.00,100,690,86.88
654473,63.02,150.00,100,690,86.98
655123,63.01,150.00,100,690,86.99
655773,62.96,150.00,100,690,87.04
656423,62.96,150.00,100,690,87.04
657073,62.86,150.00,100,690,87.14
