Timestamp_PC,Event_Type,Description,Last_Temp,Last_Target
2026-02-05 13:24:12,ERROR_TRIGGERED,Safety System Triggered: OVERTEMP,200.02,250.0
2026-02-05 13:24:21,SYSTEM_RECOVERED,System returned to NORMAL state,207.07,250.0
2026-02-05 13:24:21,ERROR_TRIGGERED,Safety System Triggered: OVERTEMP,207.1,250.0
2026-02-05 13:24:30,SYSTEM_RECOVERED,System returned to NORMAL state,202.52,250.0
2026-02-05 13:24:30,ERROR_TRIGGERED,Safety System Triggered: OVERTEMP,202.41,250.0
2026-02-05 13:24:31,SYSTEM_RECOVERED,System returned to NORMAL state,201.63,250.0
2026-02-05 13:24:31,ERROR_TRIGGERED,Safety System Triggered: OVERTEMP,201.56,250.0
2026-02-05 13:24:32,SYSTEM_RECOVERED,System returned to NORMAL state,200.54,250.0
2026-02-05 13:24:32,ERROR_TRIGGERED,Safety System Triggered: OVERTEMP,200.46,250.0
2026-02-05 13:24:39,SYSTEM_RECOVERED,System returned to NORMAL state,193.5,250.0
