Time_ms,Temp_C,Setpoint_C,Heater_Duty,Motor_Hz,Error_C
15976.0,62.39,150.0,100,400,87.61
16418.0,62.4,150.0,100,400,87.6
16860.0,62.37,150.0,100,400,87.63
17302.0,62.46,150.0,100,400,87.54
17744.0,62.38,150.0,100,400,87.62
18186.0,62.39,150.0,100,400,87.61
18628.0,62.47,150.0,100,400,87.53
19070.0,62.67,150.0,100,400,87.33
19512.0,62.59,150.0,100,400,87.41
19954.0,62.56,150.0,100,400,87.44
20396.0,62.6,150.0,100,400,87.4
20838.0,62.74,150.0,100,400,87.26
21280.0,62.61,150.0,100,400,87.39
21722.0,62.65,150.0,100,400,87.35
22164.0,62.57,150.0,100,400,87.43
22606.0,62.54,150.0,100,400,87.46
23048.0,62.31,150.0,100,400,87.69
23490.0,62.02,150.0,100,400,87.98
24007.0,62.04,150.0,100,400,87.96
24449.0,61.87,150.0,100,400,88.13
24891.0,61.77,150.0,100,400,88.23
25333.0,61.77,150.0,100,400,88.23
25775.0,61.66,150.0,100,400,88.34
26217.0,61.64,150.0,100,400,88.36
26659.0,61.41,150.0,100,400,88.59
27101.0,61.44,150.0,100,400,88.56
27543.0,61.5,150.0,100,400,88.5
27985.0,61.55,150.0,100,400,88.45
28427.0,61.66,150.0,100,400,88.34
28869.0,61.74,150.0,100,400,88.26
29311.0,62.02,150.0,100,400,87.98
29753.0,62.34,150.0,100,400,87.66
30195.0,62.93,150.0,100,400,87.07
30637.0,63.37,150.0,100,400,86.63
31079.0,63.68,150.0,100,400,86.32
31521.0,64.1,150.0,100,400,85.9
31963.0,64.3,150.0,100,400,85.7
32405.0,64.87,150.0,100,400,85.13
32847.0,65.24,150.0,100,400,84.76
33289.0,65.83,150.0,100,400,84.17
33731.0,66.37,150.0,100,400,83.63
34173.0,66.92,150.0,100,400,83.08
34615.0,67.44,150.0,100,400,82.56
35057.0,67.98,150.0,100,400,82.02
35499.0,68.55,150.0,100,400,81.45
35941.0,69.28,150.0,100,400,80.72
36383.0,70.05,150.0,100,400,79.95
