Time_ms,Temp_C,Setpoint_C,Heater_Duty,Motor_Hz,Error_C
16870.0,124.65,150.0,100,690,25.35
16970.0,124.78,150.0,0,690,25.22
17070.0,124.82,150.0,100,690,25.18
17170.0,124.97,150.0,0,690,25.03
17270.0,125.01,150.0,100,690,24.99
17370.0,125.11,150.0,0,690,24.89
17470.0,125.23,150.0,0,690,24.77
17570.0,125.33,150.0,0,690,24.67
17670.0,125.41,150.0,17,690,24.59
17770.0,125.5,150.0,0,690,24.5
17870.0,125.48,150.0,100,690,24.52
17970.0,125.57,150.0,0,690,24.43
18070.0,125.65,150.0,27,690,24.35
18170.0,125.76,150.0,0,690,24.24
18270.0,125.82,150.0,95,690,24.18
18370.0,125.95,150.0,0,690,24.05
18470.0,126.11,150.0,0,690,23.89
18570.0,126.18,150.0,42,690,23.82
18670.0,126.26,150.0,1,690,23.74
18770.0,126.4,150.0,0,690,23.6
18870.0,126.47,150.0,44,690,23.53
18970.0,126.5,150.0,100,690,23.5
19070.0,126.57,150.0,31,690,23.43
19170.0,126.68,150.0,0,690,23.32
19270.0,126.75,150.0,42,690,23.25
19370.0,126.82,150.0,51,690,23.18
19470.0,126.84,150.0,100,690,23.16
19570.0,126.89,150.0,100,690,23.11
19670.0,126.98,150.0,0,690,23.02
19770.0,127.03,150.0,100,690,22.97
19870.0,127.17,150.0,0,690,22.83
19970.0,127.15,150.0,100,690,22.85
20070.0,127.22,150.0,49,690,22.78
20170.0,127.3,150.0,0,690,22.7
20270.0,127.38,150.0,0,690,22.62
20370.0,127.47,150.0,0,690,22.53
20470.0,127.59,150.0,0,690,22.41
20570.0,127.64,150.0,100,690,22.36
20670.0,127.67,150.0,100,690,22.33
20770.0,127.67,150.0,100,690,22.33
20870.0,127.78,150.0,0,690,22.22
20970.0,127.85,150.0,55,690,22.15
21070.0,127.92,150.0,8,690,22.08
21170.0,128.0,150.0,0,690,22.0
21270.0,128.01,150.0,100,690,21.99
21370.0,128.1,150.0,0,690,21.9
21470.0,128.26,150.0,0,690,21.74
21570.0,128.27,150.0,100,690,21.73
21670.0,128.31,150.0,100,690,21.69
21770.0,128.39,150.0,0,690,21.61
21870.0,128.4,150.0,100,690,21.6
21970.0,128.53,150.0,0,690,21.47
22070.0,128.51,150.0,100,690,21.49
22170.0,128.56,150.0,91,690,21.44
22270.0,128.67,150.0,0,690,21.33
22370.0,128.76,150.0,0,690,21.24
22470.0,128.76,150.0,100,690,21.24
22570.0,128.82,150.0,67,690,21.18
22670.0,128.93,150.0,0,690,21.07
22770.0,129.0,150.0,14,690,21.0
22870.0,129.02,150.0,100,690,20.98
22970.0,129.0,150.0,100,690,21.0
23070.0,129.1,150.0,0,690,20.9
23170.0,129.11,150.0,100,690,20.89
23270.0,129.24,150.0,0,690,20.76
23370.0,129.28,150.0,100,690,20.72
23470.0,129.31,150.0,100,690,20.69
23570.0,129.36,150.0,49,690,20.64
23670.0,129.42,150.0,51,690,20.58
23770.0,129.57,150.0,0,690,20.43
23870.0,129.55,150.0,100,690,20.45
23970.0,129.65,150.0,0,690,20.35
24070.0,129.77,150.0,0,690,20.23
24170.0,129.8,150.0,100,690,20.2
24270.0,129.85,150.0,89,690,20.15
24370.0,129.9,150.0,82,690,20.1
24470.0,129.97,150.0,0,690,20.03
