Time_ms,Temp_C,Setpoint_C,Heater_Duty,Motor_Hz,Error_C
211470.0,81.77,150.0,100,400,68.23
211912.0,81.73,150.0,100,400,68.27
212354.0,81.75,150.0,100,400,68.25
212796.0,81.76,150.0,100,400,68.24
213238.0,81.83,150.0,100,400,68.17
213680.0,81.76,150.0,100,400,68.24
214122.0,81.66,150.0,100,400,68.34
214564.0,81.73,150.0,100,400,68.27
215006.0,81.79,150.0,100,400,68.21
215523.0,81.66,150.0,100,400,68.34
215965.0,81.58,150.0,100,400,68.42
216407.0,81.49,150.0,100,400,68.51
216849.0,81.36,150.0,100,400,68.64
217291.0,81.27,150.0,100,400,68.73
217733.0,81.27,150.0,100,400,68.73
218175.0,81.2,150.0,100,400,68.8
2171.0,83.74,150.0,100,400,66.26
2270.0,83.87,150.0,100,400,66.13
2370.0,84.01,150.0,100,400,65.99
2470.0,84.1,150.0,100,400,65.9
2570.0,84.26,150.0,100,400,65.74
2670.0,84.3,150.0,100,400,65.7
2770.0,84.36,150.0,100,400,65.64
2870.0,84.44,150.0,100,400,65.56
2970.0,84.51,150.0,100,400,65.49
3070.0,84.55,150.0,100,400,65.45
3170.0,84.57,150.0,100,400,65.43
3270.0,84.68,150.0,100,400,65.32
3370.0,84.86,150.0,100,400,65.14
3470.0,85.01,150.0,100,400,64.99
3570.0,85.15,150.0,100,400,64.85
3670.0,85.24,150.0,100,400,64.76
3770.0,85.27,150.0,100,400,64.73
3870.0,85.34,150.0,100,400,64.66
3970.0,85.39,150.0,100,400,64.61
4070.0,85.39,150.0,100,400,64.61
4170.0,85.42,150.0,100,400,64.58
4270.0,85.43,150.0,100,400,64.57
4370.0,85.49,150.0,100,400,64.51
4470.0,85.49,150.0,100,400,64.51
4570.0,85.61,150.0,100,400,64.39
4670.0,85.69,150.0,100,400,64.31
4770.0,85.74,150.0,100,400,64.26
4870.0,85.77,150.0,100,400,64.23
4970.0,85.76,150.0,100,400,64.24
5070.0,85.79,150.0,100,400,64.21
5170.0,85.79,150.0,100,400,64.21
5270.0,85.86,150.0,100,400,64.14
5370.0,85.97,150.0,100,400,64.03
5470.0,86.07,150.0,100,400,63.93
5570.0,86.2,150.0,100,400,63.8
5670.0,86.26,150.0,100,400,63.74
5770.0,86.35,150.0,100,400,63.65
5870.0,86.46,150.0,100,400,63.54
5970.0,86.51,150.0,100,400,63.49
6070.0,86.75,150.0,0,400,63.25
6170.0,86.76,150.0,100,400,63.24
6270.0,86.77,150.0,100,400,63.23
6370.0,86.82,150.0,100,400,63.18
6470.0,86.97,150.0,100,400,63.03
6570.0,87.08,150.0,100,400,62.92
6670.0,87.3,150.0,0,400,62.7
6770.0,87.44,150.0,100,400,62.56
6870.0,87.53,150.0,100,400,62.47
6970.0,87.62,150.0,100,400,62.38
7070.0,87.73,150.0,100,400,62.27
7170.0,87.86,150.0,100,400,62.14
7270.0,87.92,150.0,100,400,62.08
7370.0,88.01,150.0,100,400,61.99
7470.0,88.14,150.0,100,400,61.86
7570.0,88.3,150.0,100,400,61.7
7670.0,88.43,150.0,100,400,61.57
7770.0,88.55,150.0,100,400,61.45
7870.0,88.67,150.0,100,400,61.33
7970.0,88.74,150.0,100,400,61.26
8070.0,88.86,150.0,100,400,61.14
8170.0,89.01,150.0,100,400,60.99
8270.0,89.03,150.0,100,400,60.97
8370.0,89.13,150.0,100,400,60.87
8470.0,89.3,150.0,100,400,60.7
8570.0,89.46,150.0,100,400,60.54
8670.0,89.54,150.0,100,400,60.46
8770.0,89.72,150.0,90,400,60.28
8870.0,89.85,150.0,100,400,60.15
8970.0,89.97,150.0,100,400,60.03
9070.0,90.12,150.0,100,400,59.88
9170.0,90.24,150.0,100,400,59.76
9270.0,90.39,150.0,100,400,59.61
9370.0,90.53,150.0,100,400,59.47
9470.0,90.66,150.0,100,400,59.34
9570.0,90.84,150.0,91,400,59.16
9670.0,91.07,150.0,0,400,58.93
9770.0,91.18,150.0,100,400,58.82
9870.0,91.35,150.0,100,400,58.65
9970.0,91.48,150.0,100,400,58.52
10070.0,91.62,150.0,100,400,58.38
10170.0,91.73,150.0,100,400,58.27
10270.0,91.87,150.0,100,400,58.13
10370.0,91.97,150.0,100,400,58.03
10470.0,92.06,150.0,100,400,57.94
10570.0,92.18,150.0,100,400,57.82
10670.0,92.34,150.0,100,400,57.66
10770.0,92.46,150.0,100,400,57.54
10870.0,92.71,150.0,0,400,57.29
10970.0,92.88,150.0,59,400,57.12
11070.0,93.1,150.0,0,400,56.9
11170.0,93.26,150.0,90,400,56.74
11270.0,93.47,150.0,0,400,56.53
11370.0,93.68,150.0,0,400,56.32
11470.0,93.84,150.0,100,400,56.16
11570.0,93.98,150.0,100,400,56.02
11670.0,94.21,150.0,0,400,55.79
11770.0,94.42,150.0,0,400,55.58
11870.0,94.6,150.0,23,400,55.4
11970.0,94.79,150.0,0,400,55.21
12070.0,94.93,150.0,100,400,55.07
12170.0,95.11,150.0,20,400,54.89
12270.0,95.3,150.0,0,400,54.7
12370.0,95.47,150.0,47,400,54.53
12470.0,95.66,150.0,0,400,54.34
12570.0,95.84,150.0,0,400,54.16
12670.0,96.0,150.0,77,400,54.0
12770.0,96.18,150.0,0,400,53.82
12870.0,96.35,150.0,82,400,53.65
12970.0,96.59,150.0,0,400,53.41
13070.0,96.78,150.0,0,400,53.22
13170.0,96.94,150.0,95,400,53.06
13270.0,97.1,150.0,86,400,52.9
13370.0,97.22,150.0,100,400,52.78
13470.0,97.42,150.0,0,400,52.58
13570.0,97.67,150.0,0,400,52.33
13670.0,97.91,150.0,0,400,52.09
13770.0,98.23,150.0,0,400,51.77
13870.0,98.51,150.0,0,400,51.49
13970.0,98.83,150.0,0,400,51.17
14070.0,99.07,150.0,0,400,50.93
14170.0,99.28,150.0,0,400,50.72
14270.0,99.45,150.0,5,400,50.55
14370.0,99.62,150.0,12,400,50.38
14470.0,99.75,150.0,100,400,50.25
14570.0,99.9,150.0,65,400,50.1
14670.0,100.02,150.0,100,400,49.98
14770.0,100.21,150.0,0,400,49.79
14870.0,100.41,150.0,0,400,49.59
14970.0,100.62,150.0,0,400,49.38
15070.0,100.81,150.0,0,400,49.19
15170.0,100.97,150.0,34,400,49.03
15270.0,101.18,150.0,0,400,48.82
15370.0,101.39,150.0,0,400,48.61
15470.0,101.57,150.0,0,400,48.43
15570.0,101.75,150.0,0,400,48.25
15670.0,101.9,150.0,45,400,48.1
15770.0,102.05,150.0,42,400,47.95
15870.0,102.2,150.0,40,400,47.8
15970.0,102.38,150.0,0,400,47.62
16070.0,102.57,150.0,0,400,47.43
16170.0,102.81,150.0,0,400,47.19
16270.0,102.98,150.0,0,400,47.02
16370.0,103.15,150.0,0,400,46.85
16470.0,103.36,150.0,0,400,46.64
16570.0,103.54,150.0,0,400,46.46
16670.0,103.67,150.0,80,400,46.33
16770.0,103.81,150.0,68,400,46.19
16870.0,104.01,150.0,0,400,45.99
16970.0,104.18,150.0,0,400,45.82
17070.0,104.31,150.0,100,400,45.69
17170.0,104.46,150.0,0,400,45.54
17270.0,104.68,150.0,0,400,45.32
17370.0,104.8,150.0,100,400,45.2
17470.0,104.95,150.0,23,400,45.05
17570.0,105.08,150.0,86,400,44.92
17670.0,105.26,150.0,0,400,44.74
17770.0,105.37,150.0,100,400,44.63
17870.0,105.54,150.0,0,400,44.46
17970.0,105.7,150.0,0,400,44.3
18070.0,105.92,150.0,0,400,44.08
18170.0,106.09,150.0,0,400,43.91
