Timestamp,Message
1770052409.203103,[ACCEL] Step:40 Hz:55
1770052409.3268385,[ACCEL] Step:140 Hz:111
1770052409.4305902,[ACCEL] Step:240 Hz:230
1770052409.5333893,[ACCEL] Step:340 Hz:407
1770052409.63723,[ACCEL] Step:440 Hz:638
1770052409.7415202,[ACCEL] Step:540 Hz:918
1770052409.8489022,[ACCEL] Step:640 Hz:1240
1770052409.9578938,[ACCEL] Step:740 Hz:1596
1770052410.0669773,[ACCEL] Step:840 Hz:1976
1770052410.2847514,[ACCEL] Step:940 Hz:2373
1770052410.389639,[ACCEL] Step:1040 Hz:2775
1770052410.4927037,[ACCEL] Step:1140 Hz:3173
1770052410.597854,[ACCEL] Step:1240 Hz:3558
1770052410.7073655,[ACCEL] Step:1340 Hz:3919
1770052410.8103485,[ACCEL] Step:1440 Hz:4249
1770052410.9139607,[ACCEL] Step:1540 Hz:4538
1770052411.018127,[ACCEL] Step:1640 Hz:4779
1770052411.124657,[ACCEL] Step:1740 Hz:4968
1770052411.3322132,[ACCEL] Step:1840 Hz:5098
1770052411.4372904,[ACCEL] Step:1940 Hz:5167
1770052411.4372904,[DEBUG] RUN START
1770052426.6834433,[DECEL] Step:8 Hz:5179
1770052426.786945,[DECEL] Step:108 Hz:5143
1770052426.8902538,[DECEL] Step:208 Hz:5044
1770052426.9945946,[DECEL] Step:308 Hz:4885
1770052427.0981028,[DECEL] Step:408 Hz:4671
1770052427.2033467,[DECEL] Step:508 Hz:4405
1770052427.3072963,[DECEL] Step:608 Hz:4096
1770052427.4128191,[DECEL] Step:708 Hz:3750
1770052427.628654,[DECEL] Step:808 Hz:3377
1770052427.7441444,[DECEL] Step:908 Hz:2984
1770052427.8569772,[DECEL] Step:1008 Hz:2583
1770052427.9613824,[DECEL] Step:1108 Hz:2182
1770052428.1005495,[DECEL] Step:1208 Hz:1792
1770052428.2064598,[DECEL] Step:1308 Hz:1422
1770052428.3119946,[DECEL] Step:1408 Hz:1082
1770052428.4237332,[DECEL] Step:1508 Hz:779
1770052428.5305007,[DECEL] Step:1608 Hz:521
1770052428.639598,[DECEL] Step:1708 Hz:316
1770052428.7498763,[DECEL] Step:1808 Hz:166
1770052428.857155,[DECEL] Step:1908 Hz:77
1770052428.9651845,[DEBUG] IDLE (Motor OFF)
1770052443.6810143,[ACCEL] Step:18 Hz:51
1770052443.7879138,[ACCEL] Step:118 Hz:93
1770052443.89694,[ACCEL] Step:218 Hz:198
1770052444.0081096,[ACCEL] Step:318 Hz:363
1770052444.11211,[ACCEL] Step:418 Hz:583
1770052444.2156897,[ACCEL] Step:518 Hz:853
1770052444.3203318,[ACCEL] Step:618 Hz:1166
1770052444.4288476,[ACCEL] Step:718 Hz:1515
1770052444.5364652,[ACCEL] Step:818 Hz:1891
1770052444.6404874,[ACCEL] Step:918 Hz:2285
1770052444.8569038,[ACCEL] Step:1018 Hz:2687
1770052444.9857786,[ACCEL] Step:1118 Hz:3087
1770052444.98778,[ACCEL] Step:1218 Hz:3475
1770052445.2106268,[ACCEL] Step:1318 Hz:3842
1770052445.3172483,[ACCEL] Step:1418 Hz:4179
1770052445.422111,[ACCEL] Step:1518 Hz:4478
1770052445.5329633,[ACCEL] Step:1618 Hz:4731
1770052445.6458821,[ACCEL] Step:1718 Hz:4931
1770052445.757711,[ACCEL] Step:1818 Hz:5074
1770052445.8697891,[ACCEL] Step:1918 Hz:5157
1770052445.9751503,[DEBUG] RUN START
1770052467.7567577,[DECEL] Step:18 Hz:5178
1770052467.8583462,[DECEL] Step:118 Hz:5136
1770052468.0357306,[DECEL] Step:218 Hz:5031
1770052468.037732,[DECEL] Step:318 Hz:4866
1770052468.2765238,[DECEL] Step:418 Hz:4646
1770052468.279535,[DECEL] Step:518 Hz:4376
1770052468.540871,[DECEL] Step:618 Hz:4063
1770052468.5438733,[DECEL] Step:718 Hz:3714
1770052468.798988,[DECEL] Step:818 Hz:3338
1770052468.8029985,[DECEL] Step:918 Hz:2944
1770052469.0732024,[DECEL] Step:1018 Hz:2542
1770052469.0762038,[DECEL] Step:1118 Hz:2142
1770052469.0796063,[DECEL] Step:1218 Hz:1754
1770052469.3579595,[DECEL] Step:1318 Hz:1387
1770052469.360968,[DECEL] Step:1418 Hz:1050
1770052469.6534662,[DECEL] Step:1518 Hz:751
1770052469.6578758,[DECEL] Step:1618 Hz:498
1770052469.6618128,[DECEL] Step:1718 Hz:298
1770052469.9395456,[DECEL] Step:1818 Hz:155
1770052469.9456556,[DECEL] Step:1918 Hz:72
1770052470.2084014,[DEBUG] IDLE (Motor OFF)
1770052516.7316487,[ACCEL] Step:72 Hz:66
1770052516.8387566,[ACCEL] Step:172 Hz:143
1770052516.9701796,[ACCEL] Step:272 Hz:280
1770052517.1031935,[ACCEL] Step:372 Hz:475
1770052517.2467396,[ACCEL] Step:472 Hz:723
1770052517.2487388,[ACCEL] Step:572 Hz:1017
1770052517.3663895,[ACCEL] Step:672 Hz:1350
1770052517.5905755,[ACCEL] Step:772 Hz:1715
1770052517.700581,[ACCEL] Step:872 Hz:2102
