Time_ms,Message,Hz
29570,[ACCEL] Step:55 Hz:59,59
29771,[ACCEL] Step:155 Hz:125,125
29871,[ACCEL] Step:255 Hz:252,252
29971,[ACCEL] Step:355 Hz:438,438
30071,[ACCEL] Step:455 Hz:677,677
30170,[ACCEL] Step:555 Hz:964,964
30371,[ACCEL] Step:655 Hz:1291,1291
30471,[ACCEL] Step:755 Hz:1651,1651
30571,[ACCEL] Step:855 Hz:2035,2035
30671,[ACCEL] Step:955 Hz:2433,2433
30871,[ACCEL] Step:1055 Hz:2835,2835
30970,[ACCEL] Step:1155 Hz:3232,3232
31071,[ACCEL] Step:1255 Hz:3614,3614
31171,[ACCEL] Step:1355 Hz:3971,3971
31271,[ACCEL] Step:1455 Hz:4295,4295
31470,[ACCEL] Step:1555 Hz:4577,4577
31571,[ACCEL] Step:1655 Hz:4811,4811
31671,[ACCEL] Step:1755 Hz:4991,4991
31771,[ACCEL] Step:1855 Hz:5112,5112
31970,[ACCEL] Step:1955 Hz:5172,5172
31970,[DEBUG] RUN START,0
36770,[DECEL] Step:7 Hz:5179,5179
36871,[DECEL] Step:107 Hz:5143,5143
36971,[DECEL] Step:207 Hz:5045,5045
37071,[DECEL] Step:307 Hz:4887,4887
37270,[DECEL] Step:407 Hz:4673,4673
37370,[DECEL] Step:507 Hz:4408,4408
37471,[DECEL] Step:607 Hz:4099,4099
37571,[DECEL] Step:707 Hz:3754,3754
37670,[DECEL] Step:807 Hz:3381,3381
37871,[DECEL] Step:907 Hz:2988,2988
37971,[DECEL] Step:1007 Hz:2587,2587
38071,[DECEL] Step:1107 Hz:2186,2186
38170,[DECEL] Step:1207 Hz:1796,1796
38371,[DECEL] Step:1307 Hz:1426,1426
38470,[DECEL] Step:1407 Hz:1085,1085
38571,[DECEL] Step:1507 Hz:782,782
38671,[DECEL] Step:1607 Hz:524,524
38771,[DECEL] Step:1707 Hz:317,317
38971,[DECEL] Step:1807 Hz:167,167
39071,[DECEL] Step:1907 Hz:78,78
39170,[DEBUG] IDLE (Motor OFF),0
