Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
24245,51.27,255.00,100,3.00,203.73
24895,51.25,255.00,100,3.00,203.75
25545,51.38,255.00,100,3.00,203.62
26195,51.20,255.00,100,3.00,203.80
26845,51.39,255.00,100,3.00,203.61
27495,51.35,255.00,100,3.00,203.65
28145,51.50,255.00,100,3.00,203.50
28795,51.39,255.00,100,3.00,203.61
29445,51.49,255.00,100,3.00,203.51
30095,51.43,255.00,100,3.00,203.57
30745,51.43,255.00,100,3.00,203.57
31395,51.43,255.00,100,3.00,203.57
32045,51.34,255.00,100,3.00,203.66
32695,51.21,255.00,100,3.00,203.79
33345,51.21,255.00,100,3.00,203.79
34070,51.30,255.00,100,3.00,203.70
34720,51.28,255.00,100,3.00,203.72
35370,51.31,255.00,100,3.00,203.69
36020,51.38,255.00,100,3.00,203.62
36670,51.44,255.00,100,3.00,203.56
2171,51.66,255.00,100,3.00,203.34
2270,51.76,255.00,100,3.00,203.24
2370,51.74,255.00,100,3.00,203.26
2470,51.77,255.00,100,3.00,203.23
2570,51.75,255.00,100,3.00,203.25
2670,51.87,255.00,100,3.00,203.13
2770,51.92,255.00,100,3.00,203.08
2870,51.73,255.00,100,3.00,203.27
2970,51.72,255.00,100,3.00,203.28
3070,51.89,255.00,100,3.00,203.11
3170,52.12,255.00,100,3.00,202.88
3270,52.21,255.00,100,3.00,202.79
3370,52.24,255.00,100,3.00,202.76
3470,52.17,255.00,100,3.00,202.83
3570,51.98,255.00,100,3.00,203.02
3670,51.82,255.00,100,3.00,203.18
3770,51.93,255.00,100,3.00,203.07
3870,51.87,255.00,100,3.00,203.13
3970,51.93,255.00,100,3.00,203.07
4070,51.92,255.00,100,3.00,203.08
4170,52.19,255.00,100,3.00,202.81
4270,52.22,255.00,100,3.00,202.78
4370,52.06,255.00,100,3.00,202.94
4470,52.03,255.00,100,3.00,202.97
4570,52.00,255.00,100,3.00,203.00
4670,51.98,255.00,100,3.00,203.02
4770,52.06,255.00,100,3.00,202.94
4870,52.02,255.00,100,3.00,202.98
4970,51.95,255.00,100,3.00,203.05
5070,51.89,255.00,100,3.00,203.11
5170,52.17,255.00,100,3.00,202.83
5270,52.39,255.00,100,3.00,202.61
5370,52.43,255.00,100,3.00,202.57
5470,52.41,255.00,100,3.00,202.59
5570,52.26,255.00,100,3.00,202.74
5670,52.33,255.00,100,3.00,202.67
5770,52.42,255.00,100,3.00,202.58
5870,52.32,255.00,100,3.00,202.68
5970,52.23,255.00,100,3.00,202.77
6070,52.35,255.00,100,3.00,202.65
6170,52.26,255.00,100,3.00,202.74
6270,52.46,255.00,100,3.00,202.54
6370,52.48,255.00,100,3.00,202.52
6470,52.41,255.00,100,3.00,202.59
6570,52.45,255.00,100,3.00,202.55
6670,52.34,255.00,100,3.00,202.66
6770,52.39,255.00,100,3.00,202.61
6870,52.52,255.00,100,3.00,202.48
6970,52.53,255.00,100,3.00,202.47
7070,52.45,255.00,100,3.00,202.55
7170,52.29,255.00,100,3.00,202.71
7270,52.53,255.00,100,3.00,202.47
7370,52.72,255.00,100,3.00,202.28
7470,52.87,255.00,100,3.00,202.13
7570,52.68,255.00,100,3.00,202.32
7670,52.47,255.00,100,3.00,202.53
7770,52.45,255.00,100,3.00,202.55
7870,52.61,255.00,100,3.00,202.39
7970,52.61,255.00,100,3.00,202.39
8070,52.56,255.00,100,3.00,202.44
8170,52.56,255.00,100,3.00,202.44
8270,52.52,255.00,100,3.00,202.48
8370,52.44,255.00,100,3.00,202.56
8470,52.61,255.00,100,3.00,202.39
8570,52.69,255.00,100,3.00,202.31
8670,52.67,255.00,100,3.00,202.33
8770,52.61,255.00,100,3.00,202.39
8870,52.65,255.00,100,3.00,202.35
8970,52.77,255.00,100,3.00,202.23
9070,52.78,255.00,100,3.00,202.22
9170,52.74,255.00,100,3.00,202.26
9270,52.71,255.00,100,3.00,202.29
9370,52.91,255.00,100,3.00,202.09
9470,53.15,255.00,100,3.00,201.85
9570,53.26,255.00,100,3.00,201.74
9670,53.26,255.00,100,3.00,201.74
9770,53.31,255.00,100,3.00,201.69
9870,53.43,255.00,100,3.00,201.57
9970,53.48,255.00,100,3.00,201.52
10070,53.44,255.00,100,3.00,201.56
10170,53.49,255.00,100,3.00,201.51
10270,53.40,255.00,100,3.00,201.60
10370,53.33,255.00,100,3.00,201.67
10470,53.27,255.00,100,3.00,201.73
10570,53.31,255.00,100,3.00,201.69
10670,53.34,255.00,100,3.00,201.66
10770,53.42,255.00,100,3.00,201.58
10870,53.38,255.00,100,3.00,201.62
10970,53.36,255.00,100,3.00,201.64
11070,53.43,255.00,100,3.00,201.57
11170,53.44,255.00,100,3.00,201.56
11270,53.40,255.00,100,3.00,201.60
11370,53.68,255.00,100,3.00,201.32
11470,53.73,255.00,100,3.00,201.27
11570,53.85,255.00,100,3.00,201.15
11670,53.95,255.00,100,3.00,201.05
11770,54.08,255.00,100,3.00,200.92
11870,54.00,255.00,100,3.00,201.00
11970,53.98,255.00,100,3.00,201.02
12070,53.97,255.00,100,3.00,201.03
12170,53.92,255.00,100,3.00,201.08
12270,53.87,255.00,100,3.00,201.13
12370,53.80,255.00,100,3.00,201.20
12470,53.78,255.00,100,3.00,201.22
12570,53.72,255.00,100,3.00,201.28
12670,54.02,255.00,100,3.00,200.98
12770,54.13,255.00,100,3.00,200.87
12870,54.17,255.00,100,3.00,200.83
12970,54.25,255.00,100,3.00,200.75
13070,54.31,255.00,100,3.00,200.69
13170,54.41,255.00,100,3.00,200.59
13270,54.48,255.00,100,3.00,200.52
13370,54.46,255.00,100,3.00,200.54
13470,54.48,255.00,100,3.00,200.52
13570,54.63,255.00,100,3.00,200.37
13670,54.70,255.00,100,3.00,200.30
13770,54.84,255.00,100,3.00,200.16
13870,54.87,255.00,100,3.00,200.13
13970,54.90,255.00,100,3.00,200.10
14070,54.92,255.00,100,3.00,200.08
14170,54.80,255.00,100,3.00,200.20
14270,54.76,255.00,100,3.00,200.24
14370,54.81,255.00,100,3.00,200.19
14470,54.97,255.00,100,3.00,200.03
14570,55.06,255.00,100,3.00,199.94
14670,55.13,255.00,100,3.00,199.87
14770,55.27,255.00,100,3.00,199.73
14870,55.26,255.00,100,3.00,199.74
14970,55.21,255.00,100,3.00,199.79
15070,55.29,255.00,100,3.00,199.71
15170,55.36,255.00,100,3.00,199.64
15270,55.45,255.00,100,3.00,199.55
15370,55.44,255.00,100,3.00,199.56
15470,55.31,255.00,100,3.00,199.69
15570,55.33,255.00,100,3.00,199.67
15670,55.60,255.00,100,3.00,199.40
15770,55.64,255.00,100,3.00,199.36
15870,55.72,255.00,100,3.00,199.28
15970,55.87,255.00,100,3.00,199.13
16070,55.86,255.00,100,3.00,199.14
16170,55.90,255.00,100,3.00,199.10
16270,55.84,255.00,100,3.00,199.16
16370,55.67,255.00,100,3.00,199.33
16470,55.75,255.00,100,3.00,199.25
16570,55.64,255.00,100,3.00,199.36
16670,55.68,255.00,100,3.00,199.32
16770,55.83,255.00,100,3.00,199.17
16870,55.87,255.00,100,3.00,199.13
16970,55.91,255.00,100,3.00,199.09
17070,55.93,255.00,100,3.00,199.07
17170,56.08,255.00,100,3.00,198.92
17270,56.27,255.00,100,3.00,198.73
17370,56.39,255.00,100,3.00,198.61
17470,56.40,255.00,100,3.00,198.60
17570,56.29,255.00,100,3.00,198.71
17670,56.28,255.00,100,3.00,198.72
17770,56.51,255.00,100,3.00,198.49
17870,56.66,255.00,100,3.00,198.34
17970,56.78,255.00,100,3.00,198.22
18070,56.79,255.00,100,3.00,198.21
18170,56.81,255.00,100,3.00,198.19
18270,56.82,255.00,100,3.00,198.18
18370,56.90,255.00,100,3.00,198.10
18470,56.73,255.00,100,3.00,198.27
18570,56.79,255.00,100,3.00,198.21
18670,56.77,255.00,100,3.00,198.23
18770,56.78,255.00,100,3.00,198.22
18870,56.84,255.00,100,3.00,198.16
18970,57.04,255.00,100,3.00,197.96
19070,56.96,255.00,100,3.00,198.04
19170,56.94,255.00,100,3.00,198.06
19270,57.08,255.00,100,3.00,197.92
19370,57.23,255.00,100,3.00,197.77
19470,57.36,255.00,100,3.00,197.64
19570,57.38,255.00,100,3.00,197.62
19670,57.31,255.00,100,3.00,197.69
19770,57.46,255.00,100,3.00,197.54
19870,57.65,255.00,100,3.00,197.35
19970,57.84,255.00,100,3.00,197.16
20070,57.84,255.00,100,3.00,197.16
20170,57.77,255.00,100,3.00,197.23
20270,57.86,255.00,100,3.00,197.14
20370,57.93,255.00,100,3.00,197.07
20470,57.96,255.00,100,3.00,197.04
20570,57.93,255.00,100,3.00,197.07
20670,58.03,255.00,100,3.00,196.97
20770,58.19,255.00,100,3.00,196.81
20870,58.31,255.00,100,3.00,196.69
20970,58.37,255.00,100,3.00,196.63
21070,58.42,255.00,100,3.00,196.58
21170,58.39,255.00,100,3.00,196.61
21270,58.43,255.00,100,3.00,196.57
21370,58.62,255.00,100,3.00,196.38
21470,58.70,255.00,100,3.00,196.30
21570,58.72,255.00,100,3.00,196.28
21670,58.70,255.00,100,3.00,196.30
21770,58.65,255.00,100,3.00,196.35
21870,58.72,255.00,100,3.00,196.28
21970,58.85,255.00,100,3.00,196.15
22070,59.03,255.00,100,3.00,195.97
22170,58.99,255.00,100,3.00,196.01
22270,58.91,255.00,100,3.00,196.09
22370,58.97,255.00,100,3.00,196.03
22470,59.05,255.00,100,3.00,195.95
22570,59.19,255.00,100,3.00,195.81
22670,59.15,255.00,100,3.00,195.85
22770,59.12,255.00,100,3.00,195.88
22870,59.21,255.00,100,3.00,195.79
22970,59.24,255.00,100,3.00,195.76
23070,59.23,255.00,100,3.00,195.77
23170,59.30,255.00,100,3.00,195.70
23270,59.32,255.00,100,3.00,195.68
23370,59.29,255.00,100,3.00,195.71
23470,59.38,255.00,100,3.00,195.62
23570,59.38,255.00,100,3.00,195.62
23670,59.46,255.00,100,3.00,195.54
23770,59.70,255.00,100,3.00,195.30
23870,59.63,255.00,100,3.00,195.37
23970,59.69,255.00,100,3.00,195.31
24070,59.82,255.00,100,3.00,195.18
24170,59.88,255.00,100,3.00,195.12
24270,59.93,255.00,100,3.00,195.07
24370,59.93,255.00,100,3.00,195.07
24470,59.97,255.00,100,3.00,195.03
24570,60.11,255.00,100,3.00,194.89
24670,60.04,255.00,100,3.00,194.96
24770,60.16,255.00,100,3.00,194.84
24870,60.15,255.00,100,3.00,194.85
24970,60.26,255.00,100,3.00,194.74
25070,60.34,255.00,100,3.00,194.66
25170,60.26,255.00,100,3.00,194.74
25270,60.38,255.00,100,3.00,194.62
25370,60.40,255.00,100,3.00,194.60
25470,60.38,255.00,100,3.00,194.62
25570,60.58,255.00,100,3.00,194.42
25670,60.67,255.00,100,3.00,194.33
25770,60.81,255.00,100,3.00,194.19
25870,60.89,255.00,100,3.00,194.11
25970,60.81,255.00,100,3.00,194.19
26070,60.86,255.00,100,3.00,194.14
26170,61.03,255.00,100,3.00,193.97
26270,61.07,255.00,100,3.00,193.93
26370,61.13,255.00,100,3.00,193.87
26470,61.11,255.00,100,3.00,193.89
26570,61.13,255.00,100,3.00,193.87
26670,61.25,255.00,100,3.00,193.75
26770,61.46,255.00,100,3.00,193.54
26870,61.44,255.00,100,3.00,193.56
26970,61.50,255.00,100,3.00,193.50
27070,61.55,255.00,100,3.00,193.45
27170,61.62,255.00,100,3.00,193.38
27270,61.79,255.00,100,3.00,193.21
27370,61.95,255.00,100,3.00,193.05
27470,62.01,255.00,100,3.00,192.99
27570,62.00,255.00,100,3.00,193.00
27670,61.98,255.00,100,3.00,193.02
27770,62.14,255.00,100,3.00,192.86
27870,62.27,255.00,100,3.00,192.73
27970,62.41,255.00,100,3.00,192.59
28070,62.38,255.00,100,3.00,192.62
28170,62.49,255.00,100,3.00,192.51
28270,62.65,255.00,100,3.00,192.35
28370,62.85,255.00,100,3.00,192.15
28470,62.97,255.00,100,3.00,192.03
28570,62.97,255.00,100,3.00,192.03
28670,62.97,255.00,100,3.00,192.03
28770,63.00,255.00,100,3.00,192.00
28870,63.23,255.00,100,3.00,191.77
28970,63.24,255.00,100,3.00,191.76
29070,63.28,255.00,100,3.00,191.72
29170,63.39,255.00,100,3.00,191.61
