Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
203470,250.20,250.00,57,0.00,-0.20
203570,250.18,250.00,59,0.00,-0.18
203670,250.18,250.00,57,0.00,-0.18
203770,250.17,250.00,57,0.00,-0.17
203870,250.18,250.00,56,0.00,-0.18
203970,250.19,250.00,56,0.00,-0.19
204070,250.18,250.00,57,0.00,-0.18
204170,250.20,250.00,55,0.00,-0.20
204270,250.21,250.00,55,0.00,-0.21
204370,250.18,250.00,60,0.00,-0.18
204470,250.18,250.00,57,0.00,-0.18
204570,250.21,250.00,53,0.00,-0.21
204670,250.21,250.00,56,0.00,-0.21
204770,250.21,250.00,56,0.00,-0.21
204870,250.18,250.00,60,0.00,-0.18
204970,250.16,250.00,58,0.00,-0.16
205070,250.16,250.00,57,0.00,-0.16
205170,250.17,250.00,56,0.00,-0.17
205270,250.16,250.00,57,0.00,-0.16
205370,250.18,250.00,55,0.00,-0.18
205470,250.18,250.00,57,0.00,-0.18
205570,250.16,250.00,58,0.00,-0.16
205670,250.17,250.00,56,0.00,-0.17
205770,250.16,250.00,57,0.00,-0.16
205870,250.16,250.00,57,0.00,-0.16
205970,250.20,250.00,52,0.00,-0.20
206070,250.22,250.00,55,0.00,-0.22
206170,250.21,250.00,57,0.00,-0.21
206270,250.20,250.00,57,0.00,-0.20
206370,250.21,250.00,56,0.00,-0.21
206470,250.17,250.00,60,0.00,-0.17
206570,250.17,250.00,57,0.00,-0.17
206670,250.19,250.00,55,0.00,-0.19
206770,250.16,250.00,60,0.00,-0.16
206870,250.14,250.00,58,0.00,-0.14
206970,250.16,250.00,54,0.00,-0.16
207070,250.18,250.00,55,0.00,-0.18
207170,250.17,250.00,58,0.00,-0.17
207270,250.17,250.00,56,0.00,-0.17
207370,250.19,250.00,55,0.00,-0.19
207470,250.20,250.00,56,0.00,-0.20
207570,250.20,250.00,56,0.00,-0.20
207670,250.19,250.00,57,0.00,-0.19
207770,250.19,250.00,57,0.00,-0.19
207870,250.21,250.00,55,0.00,-0.21
207970,250.21,250.00,56,0.00,-0.21
208070,250.22,250.00,55,0.00,-0.22
208170,250.25,250.00,54,0.00,-0.25
208270,250.25,250.00,56,0.00,-0.25
208370,250.24,250.00,58,0.00,-0.24
208470,250.24,250.00,56,0.00,-0.24
208570,250.27,250.00,52,0.00,-0.27
208670,250.31,250.00,53,0.00,-0.31
208770,250.31,250.00,55,0.00,-0.31
208870,250.29,250.00,58,0.00,-0.29
208970,250.34,250.00,52,0.00,-0.34
209070,250.33,250.00,57,0.00,-0.33
209170,250.36,250.00,53,0.00,-0.36
209270,250.38,250.00,53,0.00,-0.38
209370,250.38,250.00,56,0.00,-0.38
209470,250.35,250.00,58,0.00,-0.35
209570,250.33,250.00,58,0.00,-0.33
209670,250.31,250.00,58,0.00,-0.31
209770,250.28,250.00,59,0.00,-0.28
209870,250.28,250.00,56,0.00,-0.28
209970,250.24,250.00,60,0.00,-0.24
2171,250.48,250.00,0,0.00,-0.48
2270,250.46,250.00,0,0.00,-0.46
2370,250.43,250.00,1,0.00,-0.43
2470,250.44,250.00,0,0.00,-0.44
2570,250.44,250.00,0,0.00,-0.44
2670,250.39,250.00,2,0.00,-0.39
2770,250.40,250.00,0,0.00,-0.40
2870,250.40,250.00,0,0.00,-0.40
2970,250.37,250.00,1,0.00,-0.37
3070,250.35,250.00,1,0.00,-0.35
3170,250.35,250.00,0,0.00,-0.35
3270,250.33,250.00,0,0.00,-0.33
3370,250.34,250.00,0,0.00,-0.34
3470,250.33,250.00,0,0.00,-0.33
3570,250.33,250.00,0,0.00,-0.33
3670,250.33,250.00,0,0.00,-0.33
3770,250.32,250.00,0,0.00,-0.32
3870,250.30,250.00,0,0.00,-0.30
3970,250.30,250.00,0,0.00,-0.30
4070,250.29,250.00,0,0.00,-0.29
4170,250.27,250.00,0,0.00,-0.27
4270,250.24,250.00,1,0.00,-0.24
4370,250.22,250.00,1,0.00,-0.22
4470,250.25,250.00,0,0.00,-0.25
4570,250.26,250.00,0,0.00,-0.26
4670,250.27,250.00,0,0.00,-0.27
4770,250.24,250.00,1,0.00,-0.24
4870,250.25,250.00,0,0.00,-0.25
4970,250.24,250.00,0,0.00,-0.24
5070,250.22,250.00,1,0.00,-0.22
5170,250.21,250.00,0,0.00,-0.21
5270,250.19,250.00,1,0.00,-0.19
5370,250.17,250.00,0,0.00,-0.17
5470,250.15,250.00,0,0.00,-0.15
5570,250.14,250.00,0,0.00,-0.14
5670,250.14,250.00,0,0.00,-0.14
5770,250.15,250.00,0,0.00,-0.15
5870,250.12,250.00,1,0.00,-0.12
5970,250.07,250.00,4,0.00,-0.07
6070,250.04,250.00,2,0.00,-0.04
6170,250.02,250.00,2,0.00,-0.02
6270,249.97,250.00,4,0.00,0.03
6370,249.91,250.00,5,0.00,0.09
6470,249.87,250.00,4,0.00,0.13
6570,249.87,250.00,0,0.00,0.13
6670,249.86,250.00,1,0.00,0.14
6770,249.84,250.00,2,0.00,0.16
6870,249.77,250.00,7,0.00,0.23
6970,249.73,250.00,5,0.00,0.27
7070,249.67,250.00,6,0.00,0.33
7170,249.61,250.00,7,0.00,0.39
7270,249.52,250.00,10,0.00,0.48
7370,249.44,250.00,10,0.00,0.56
7470,249.42,250.00,3,0.00,0.58
7570,249.40,250.00,4,0.00,0.60
7670,249.34,250.00,8,0.00,0.66
7770,249.25,250.00,11,0.00,0.75
7870,249.15,250.00,13,0.00,0.85
7970,249.11,250.00,7,0.00,0.89
8070,249.07,250.00,7,0.00,0.93
8170,249.05,250.00,5,0.00,0.95
8270,249.01,250.00,8,0.00,0.99
8370,248.97,250.00,8,0.00,1.03
8470,248.89,250.00,11,0.00,1.11
8570,248.86,250.00,7,0.00,1.14
8670,248.81,250.00,9,0.00,1.19
8770,248.78,250.00,8,0.00,1.22
8870,248.76,250.00,6,0.00,1.24
8970,248.72,250.00,9,0.00,1.28
9070,248.65,250.00,12,0.00,1.35
9170,248.58,250.00,12,0.00,1.42
9270,248.49,250.00,15,0.00,1.51
9370,248.43,250.00,12,0.00,1.57
9470,248.35,250.00,14,0.00,1.65
9570,248.30,250.00,12,0.00,1.70
9670,248.21,250.00,16,0.00,1.79
9770,248.18,250.00,10,0.00,1.82
9870,248.09,250.00,16,0.00,1.91
9970,248.01,250.00,16,0.00,1.99
10070,247.92,250.00,17,0.00,2.08
10170,247.86,250.00,15,0.00,2.14
10270,247.76,250.00,19,0.00,2.24
10370,247.67,250.00,18,0.00,2.33
10470,247.60,250.00,17,0.00,2.40
10570,247.50,250.00,20,0.00,2.50
10670,247.44,250.00,17,0.00,2.56
10770,247.36,250.00,19,0.00,2.64
10870,247.30,250.00,17,0.00,2.70
10970,247.21,250.00,20,0.00,2.79
11070,247.15,250.00,17,0.00,2.85
11170,247.08,250.00,19,0.00,2.92
11270,247.02,250.00,18,0.00,2.98
11370,246.96,250.00,19,0.00,3.04
11470,246.88,250.00,21,0.00,3.12
11570,246.80,250.00,21,0.00,3.20
11670,246.74,250.00,20,0.00,3.26
11770,246.68,250.00,19,0.00,3.32
11870,246.62,250.00,20,0.00,3.38
11970,246.53,250.00,23,0.00,3.47
12070,246.48,250.00,19,0.00,3.52
12170,246.39,250.00,25,0.00,3.61
12270,246.26,250.00,28,0.00,3.74
12370,246.17,250.00,26,0.00,3.83
12470,246.09,250.00,24,0.00,3.91
12570,245.98,250.00,29,0.00,4.02
12670,245.91,250.00,24,0.00,4.09
12770,245.83,250.00,25,0.00,4.17
12870,245.76,250.00,26,0.00,4.24
12970,245.69,250.00,25,0.00,4.31
13070,245.61,250.00,26,0.00,4.39
13170,245.52,250.00,28,0.00,4.48
13270,245.41,250.00,31,0.00,4.59
13370,245.33,250.00,28,0.00,4.67
13470,245.23,250.00,31,0.00,4.77
13570,245.12,250.00,32,0.00,4.88
13670,245.01,250.00,33,0.00,4.99
13770,244.89,250.00,34,0.00,5.11
13870,244.80,250.00,32,0.00,5.20
13970,244.70,250.00,33,0.00,5.30
14070,244.62,250.00,32,0.00,5.38
14170,244.55,250.00,31,0.00,5.45
14270,244.44,250.00,36,0.00,5.56
14370,244.36,250.00,33,0.00,5.64
14470,244.27,250.00,35,0.00,5.73
14570,244.21,250.00,31,0.00,5.79
14670,244.12,250.00,35,0.00,5.88
14770,244.02,250.00,37,0.00,5.98
14870,243.93,250.00,36,0.00,6.07
14970,243.86,250.00,35,0.00,6.14
15070,243.76,250.00,38,0.00,6.24
15170,243.68,250.00,36,0.00,6.32
15270,243.59,250.00,38,0.00,6.41
15370,243.49,250.00,40,0.00,6.51
15470,243.41,250.00,38,0.00,6.59
15570,243.27,250.00,44,0.00,6.73
15670,243.19,250.00,39,0.00,6.81
15770,243.09,250.00,41,0.00,6.91
15870,243.00,250.00,41,0.00,7.00
15970,242.92,250.00,40,0.00,7.08
16070,242.79,250.00,46,0.00,7.21
16170,242.68,250.00,44,0.00,7.32
16270,242.56,250.00,46,0.00,7.44
16370,242.46,250.00,45,0.00,7.54
16470,242.35,250.00,46,0.00,7.65
16570,242.25,250.00,46,0.00,7.75
16670,242.16,250.00,45,0.00,7.84
16770,242.06,250.00,46,0.00,7.94
16870,241.96,250.00,48,0.00,8.04
16970,241.89,250.00,44,0.00,8.11
17070,241.82,250.00,45,0.00,8.18
17170,241.76,250.00,45,0.00,8.24
17270,241.68,250.00,46,0.00,8.32
17370,241.59,250.00,48,0.00,8.41
17470,241.51,250.00,48,0.00,8.49
17570,241.42,250.00,48,0.00,8.58
17670,241.33,250.00,50,0.00,8.67
17770,241.23,250.00,51,0.00,8.77
17870,241.13,250.00,51,0.00,8.87
17970,241.03,250.00,52,0.00,8.97
18070,240.93,250.00,53,0.00,9.07
18170,240.84,250.00,53,0.00,9.16
18270,240.77,250.00,51,0.00,9.23
18370,240.71,250.00,50,0.00,9.29
18470,240.60,250.00,55,0.00,9.40
18570,240.50,250.00,55,0.00,9.50
18670,240.41,250.00,55,0.00,9.59
18770,240.32,250.00,55,0.00,9.68
18870,240.23,250.00,56,0.00,9.77
18970,240.14,250.00,56,0.00,9.86
19070,240.04,250.00,58,0.00,9.96
19170,239.97,250.00,55,0.00,10.03
19270,239.90,250.00,55,0.00,10.10
19370,239.85,250.00,55,0.00,10.15
19470,239.78,250.00,57,0.00,10.22
19570,239.71,250.00,56,0.00,10.29
19670,239.63,250.00,58,0.00,10.37
19770,239.54,250.00,60,0.00,10.46
19870,239.46,250.00,59,0.00,10.54
19970,239.38,250.00,60,0.00,10.62
20070,239.32,250.00,58,0.00,10.68
20170,239.26,250.00,59,0.00,10.74
20270,239.17,250.00,62,0.00,10.83
20370,239.07,250.00,63,0.00,10.93
20470,239.01,250.00,61,0.00,10.99
20570,238.93,250.00,62,0.00,11.07
20670,238.83,250.00,65,0.00,11.17
20770,238.74,250.00,65,0.00,11.26
20870,238.66,250.00,64,0.00,11.34
20970,238.57,250.00,65,0.00,11.43
21070,238.48,250.00,67,0.00,11.52
21170,238.44,250.00,61,0.00,11.56
21270,238.37,250.00,65,0.00,11.63
21370,238.30,250.00,66,0.00,11.70
21470,238.24,250.00,65,0.00,11.76
21570,238.18,250.00,65,0.00,11.82
21670,238.09,250.00,68,0.00,11.91
21770,238.05,250.00,65,0.00,11.95
21870,237.95,250.00,70,0.00,12.05
21970,237.89,250.00,67,0.00,12.11
22070,237.82,250.00,69,0.00,12.18
22170,237.77,250.00,67,0.00,12.23
22270,237.69,250.00,70,0.00,12.31
22370,237.62,250.00,71,0.00,12.38
22470,237.57,250.00,68,0.00,12.43
22570,237.48,250.00,73,0.00,12.52
22670,237.40,250.00,72,0.00,12.60
22770,237.33,250.00,73,0.00,12.67
22870,237.25,250.00,73,0.00,12.75
22970,237.20,250.00,71,0.00,12.80
23070,237.13,250.00,73,0.00,12.87
